"","age","sd_-2.67","percentile_0.4","height_0.4","sd_-2","percentile_2","height_2","sd_-1.33","percentile_9","height_9","sd_-0.67","percentile_25","height_25","sd_0","percentile_50","height_50","sd_0.67","percentile_75","height_75","sd_1.33","percentile_91","height_91","sd_2","percentile_98","height_98","sd_2.67","percentile_99.6","height_99.6"
"1",4,"-2.67","0.4",90.7984,"-2","2",93.4838,"-1.33","9",96.1692,"-0.67","25",98.8546,"0","50",101.54,"0.67","75",104.2254,"1.33","91",106.9108,"2","98",109.5962,"2.67","99.6",112.2816
"2",4.0833,"-2.67","0.4",91.2844,"-2","2",93.9933,"-1.33","9",96.7022,"-0.67","25",99.4111,"0","50",102.12,"0.67","75",104.8289,"1.33","91",107.5378,"2","98",110.2467,"2.67","99.6",112.9556
"3",4.1667,"-2.67","0.4",91.7762,"-2","2",94.5096,"-1.33","9",97.2431,"-0.67","25",99.9765,"0","50",102.71,"0.67","75",105.4435,"1.33","91",108.1769,"2","98",110.9104,"2.67","99.6",113.6438
"4",4.25,"-2.67","0.4",92.2792,"-2","2",95.0369,"-1.33","9",97.7946,"-0.67","25",100.5523,"0","50",103.31,"0.67","75",106.0677,"1.33","91",108.8254,"2","98",111.5831,"2.67","99.6",114.3408
"5",4.3333,"-2.67","0.4",92.7819,"-2","2",95.5639,"-1.33","9",98.346,"-0.67","25",101.128,"0","50",103.91,"0.67","75",106.692,"1.33","91",109.474,"2","98",112.2561,"2.67","99.6",115.0381
"6",4.4167,"-2.67","0.4",93.3021,"-2","2",96.1091,"-1.33","9",98.916,"-0.67","25",101.723,"0","50",104.53,"0.67","75",107.337,"1.33","91",110.144,"2","98",112.9509,"2.67","99.6",115.7579
"7",4.5,"-2.67","0.4",93.819,"-2","2",96.6518,"-1.33","9",99.4845,"-0.67","25",102.3173,"0","50",105.15,"0.67","75",107.9827,"1.33","91",110.8155,"2","98",113.6482,"2.67","99.6",116.481
"8",4.5833,"-2.67","0.4",94.3384,"-2","2",97.1963,"-1.33","9",100.0542,"-0.67","25",102.9121,"0","50",105.77,"0.67","75",108.6279,"1.33","91",111.4858,"2","98",114.3437,"2.67","99.6",117.2016
"9",4.6667,"-2.67","0.4",94.8662,"-2","2",97.7497,"-1.33","9",100.6331,"-0.67","25",103.5166,"0","50",106.4,"0.67","75",109.2834,"1.33","91",112.1669,"2","98",115.0503,"2.67","99.6",117.9338
"10",4.75,"-2.67","0.4",95.3848,"-2","2",98.2936,"-1.33","9",101.2024,"-0.67","25",104.1112,"0","50",107.02,"0.67","75",109.9288,"1.33","91",112.8376,"2","98",115.7464,"2.67","99.6",118.6552
"11",4.8333,"-2.67","0.4",95.9058,"-2","2",98.8394,"-1.33","9",101.7729,"-0.67","25",104.7065,"0","50",107.64,"0.67","75",110.5735,"1.33","91",113.5071,"2","98",116.4406,"2.67","99.6",119.3742
"12",4.9167,"-2.67","0.4",96.4265,"-2","2",99.3848,"-1.33","9",102.3432,"-0.67","25",105.3016,"0","50",108.26,"0.67","75",111.2184,"1.33","91",114.1768,"2","98",117.1352,"2.67","99.6",120.0935
"13",5,"-2.67","0.4",96.9289,"-2","2",99.9117,"-1.33","9",102.8945,"-0.67","25",105.8772,"0","50",108.86,"0.67","75",111.8428,"1.33","91",114.8255,"2","98",117.8083,"2.67","99.6",120.7911
"14",5.0833,"-2.67","0.4",97.4251,"-2","2",100.4313,"-1.33","9",103.4375,"-0.67","25",106.4438,"0","50",109.45,"0.67","75",112.4562,"1.33","91",115.4625,"2","98",118.4687,"2.67","99.6",121.4749
"15",5.1667,"-2.67","0.4",97.912,"-2","2",100.9415,"-1.33","9",103.971,"-0.67","25",107.0005,"0","50",110.03,"0.67","75",113.0595,"1.33","91",116.089,"2","98",119.1185,"2.67","99.6",122.148
"16",5.25,"-2.67","0.4",98.3898,"-2","2",101.4423,"-1.33","9",104.4949,"-0.67","25",107.5474,"0","50",110.6,"0.67","75",113.6526,"1.33","91",116.7051,"2","98",119.7577,"2.67","99.6",122.8102
"17",5.3333,"-2.67","0.4",98.8613,"-2","2",101.9359,"-1.33","9",105.0106,"-0.67","25",108.0853,"0","50",111.16,"0.67","75",114.2347,"1.33","91",117.3094,"2","98",120.3841,"2.67","99.6",123.4587
"18",5.4167,"-2.67","0.4",99.3266,"-2","2",102.4224,"-1.33","9",105.5183,"-0.67","25",108.6141,"0","50",111.71,"0.67","75",114.8059,"1.33","91",117.9017,"2","98",120.9976,"2.67","99.6",124.0934
"19",5.5,"-2.67","0.4",99.7739,"-2","2",102.8904,"-1.33","9",106.0069,"-0.67","25",109.1235,"0","50",112.24,"0.67","75",115.3565,"1.33","91",118.4731,"2","98",121.5896,"2.67","99.6",124.7061
"20",5.5833,"-2.67","0.4",100.221,"-2","2",103.3582,"-1.33","9",106.4955,"-0.67","25",109.6327,"0","50",112.77,"0.67","75",115.9073,"1.33","91",119.0445,"2","98",122.1818,"2.67","99.6",125.319
"21",5.6667,"-2.67","0.4",100.6619,"-2","2",103.819,"-1.33","9",106.976,"-0.67","25",110.133,"0","50",113.29,"0.67","75",116.447,"1.33","91",119.604,"2","98",122.761,"2.67","99.6",125.9181
"22",5.75,"-2.67","0.4",101.1027,"-2","2",104.2796,"-1.33","9",107.4564,"-0.67","25",110.6332,"0","50",113.81,"0.67","75",116.9868,"1.33","91",120.1636,"2","98",123.3404,"2.67","99.6",126.5173
"23",5.8333,"-2.67","0.4",101.5345,"-2","2",104.7308,"-1.33","9",107.9272,"-0.67","25",111.1236,"0","50",114.32,"0.67","75",117.5164,"1.33","91",120.7128,"2","98",123.9092,"2.67","99.6",127.1055
"24",5.9167,"-2.67","0.4",101.9602,"-2","2",105.1751,"-1.33","9",108.3901,"-0.67","25",111.605,"0","50",114.82,"0.67","75",118.035,"1.33","91",121.2499,"2","98",124.4649,"2.67","99.6",127.6798
"25",6,"-2.67","0.4",102.3946,"-2","2",105.6284,"-1.33","9",108.8623,"-0.67","25",112.0961,"0","50",115.33,"0.67","75",118.5639,"1.33","91",121.7977,"2","98",125.0316,"2.67","99.6",128.2654
"26",6.0833,"-2.67","0.4",102.82,"-2","2",106.0725,"-1.33","9",109.325,"-0.67","25",112.5775,"0","50",115.83,"0.67","75",119.0825,"1.33","91",122.335,"2","98",125.5875,"2.67","99.6",128.84
"27",6.1667,"-2.67","0.4",103.2483,"-2","2",106.5187,"-1.33","9",109.7892,"-0.67","25",113.0596,"0","50",116.33,"0.67","75",119.6004,"1.33","91",122.8708,"2","98",126.1413,"2.67","99.6",129.4117
"28",6.25,"-2.67","0.4",103.6676,"-2","2",106.9557,"-1.33","9",110.2438,"-0.67","25",113.5319,"0","50",116.82,"0.67","75",120.1081,"1.33","91",123.3962,"2","98",126.6843,"2.67","99.6",129.9724
"29",6.3333,"-2.67","0.4",104.0868,"-2","2",107.3926,"-1.33","9",110.6984,"-0.67","25",114.0042,"0","50",117.31,"0.67","75",120.6158,"1.33","91",123.9216,"2","98",127.2274,"2.67","99.6",130.5332
"30",6.4167,"-2.67","0.4",104.5147,"-2","2",107.8386,"-1.33","9",111.1624,"-0.67","25",114.4862,"0","50",117.81,"0.67","75",121.1338,"1.33","91",124.4576,"2","98",127.7814,"2.67","99.6",131.1053
"31",6.5,"-2.67","0.4",104.9337,"-2","2",108.2753,"-1.33","9",111.6168,"-0.67","25",114.9584,"0","50",118.3,"0.67","75",121.6416,"1.33","91",124.9832,"2","98",128.3247,"2.67","99.6",131.6663
"32",6.5833,"-2.67","0.4",105.3556,"-2","2",108.7142,"-1.33","9",112.0728,"-0.67","25",115.4314,"0","50",118.79,"0.67","75",122.1486,"1.33","91",125.5072,"2","98",128.8658,"2.67","99.6",132.2244
"33",6.6667,"-2.67","0.4",105.7743,"-2","2",109.1507,"-1.33","9",112.5272,"-0.67","25",115.9036,"0","50",119.28,"0.67","75",122.6564,"1.33","91",126.0328,"2","98",129.4093,"2.67","99.6",132.7857
"34",6.75,"-2.67","0.4",106.1961,"-2","2",109.5895,"-1.33","9",112.983,"-0.67","25",116.3765,"0","50",119.77,"0.67","75",123.1635,"1.33","91",126.557,"2","98",129.9504,"2.67","99.6",133.3439
"35",6.8333,"-2.67","0.4",106.6177,"-2","2",110.0283,"-1.33","9",113.4389,"-0.67","25",116.8494,"0","50",120.26,"0.67","75",123.6706,"1.33","91",127.0811,"2","98",130.4917,"2.67","99.6",133.9023
"36",6.9167,"-2.67","0.4",107.057,"-2","2",110.4852,"-1.33","9",113.9135,"-0.67","25",117.3417,"0","50",120.77,"0.67","75",124.1983,"1.33","91",127.6265,"2","98",131.0548,"2.67","99.6",134.483
"37",7,"-2.67","0.4",107.4905,"-2","2",110.9354,"-1.33","9",114.3802,"-0.67","25",117.8251,"0","50",121.27,"0.67","75",124.7149,"1.33","91",128.1598,"2","98",131.6046,"2.67","99.6",135.0495
"38",7.0833,"-2.67","0.4",107.9207,"-2","2",111.383,"-1.33","9",114.8453,"-0.67","25",118.3077,"0","50",121.77,"0.67","75",125.2323,"1.33","91",128.6947,"2","98",132.157,"2.67","99.6",135.6193
"39",7.1667,"-2.67","0.4",108.3629,"-2","2",111.8422,"-1.33","9",115.3215,"-0.67","25",118.8007,"0","50",122.28,"0.67","75",125.7593,"1.33","91",129.2385,"2","98",132.7178,"2.67","99.6",136.1971
"40",7.25,"-2.67","0.4",108.805,"-2","2",112.3013,"-1.33","9",115.7975,"-0.67","25",119.2938,"0","50",122.79,"0.67","75",126.2862,"1.33","91",129.7825,"2","98",133.2787,"2.67","99.6",136.775
"41",7.3333,"-2.67","0.4",109.2592,"-2","2",112.7719,"-1.33","9",116.2846,"-0.67","25",119.7973,"0","50",123.31,"0.67","75",126.8227,"1.33","91",130.3354,"2","98",133.8481,"2.67","99.6",137.3608
"42",7.4167,"-2.67","0.4",109.7012,"-2","2",113.2309,"-1.33","9",116.7606,"-0.67","25",120.2903,"0","50",123.82,"0.67","75",127.3497,"1.33","91",130.8794,"2","98",134.4091,"2.67","99.6",137.9388
"43",7.5,"-2.67","0.4",110.1464,"-2","2",113.6923,"-1.33","9",117.2382,"-0.67","25",120.7841,"0","50",124.33,"0.67","75",127.8759,"1.33","91",131.4218,"2","98",134.9677,"2.67","99.6",138.5136
"44",7.5833,"-2.67","0.4",110.5883,"-2","2",114.1512,"-1.33","9",117.7141,"-0.67","25",121.2771,"0","50",124.84,"0.67","75",128.4029,"1.33","91",131.9659,"2","98",135.5288,"2.67","99.6",139.0917
"45",7.6667,"-2.67","0.4",111.0212,"-2","2",114.6009,"-1.33","9",118.1806,"-0.67","25",121.7603,"0","50",125.34,"0.67","75",128.9197,"1.33","91",132.4994,"2","98",136.0791,"2.67","99.6",139.6588
"46",7.75,"-2.67","0.4",111.4628,"-2","2",115.0596,"-1.33","9",118.6564,"-0.67","25",122.2532,"0","50",125.85,"0.67","75",129.4468,"1.33","91",133.0436,"2","98",136.6404,"2.67","99.6",140.2372
"47",7.8333,"-2.67","0.4",111.8956,"-2","2",115.5092,"-1.33","9",119.1228,"-0.67","25",122.7364,"0","50",126.35,"0.67","75",129.9636,"1.33","91",133.5772,"2","98",137.1908,"2.67","99.6",140.8044
"48",7.9167,"-2.67","0.4",112.3282,"-2","2",115.9587,"-1.33","9",119.5891,"-0.67","25",123.2196,"0","50",126.85,"0.67","75",130.4804,"1.33","91",134.1109,"2","98",137.7413,"2.67","99.6",141.3718
"49",8,"-2.67","0.4",112.7451,"-2","2",116.3939,"-1.33","9",120.0426,"-0.67","25",123.6913,"0","50",127.34,"0.67","75",130.9887,"1.33","91",134.6374,"2","98",138.2861,"2.67","99.6",141.9349
"50",8.0833,"-2.67","0.4",113.1565,"-2","2",116.8224,"-1.33","9",120.4882,"-0.67","25",124.1541,"0","50",127.82,"0.67","75",131.4859,"1.33","91",135.1518,"2","98",138.8176,"2.67","99.6",142.4835
"51",8.1667,"-2.67","0.4",113.5609,"-2","2",117.2457,"-1.33","9",120.9304,"-0.67","25",124.6152,"0","50",128.3,"0.67","75",131.9848,"1.33","91",135.6696,"2","98",139.3543,"2.67","99.6",143.0391
"52",8.25,"-2.67","0.4",113.9474,"-2","2",117.6506,"-1.33","9",121.3537,"-0.67","25",125.0569,"0","50",128.76,"0.67","75",132.4631,"1.33","91",136.1663,"2","98",139.8694,"2.67","99.6",143.5726
"53",8.3333,"-2.67","0.4",114.3393,"-2","2",118.0619,"-1.33","9",121.7846,"-0.67","25",125.5073,"0","50",129.23,"0.67","75",132.9527,"1.33","91",136.6754,"2","98",140.3981,"2.67","99.6",144.1207
"54",8.4167,"-2.67","0.4",114.722,"-2","2",118.464,"-1.33","9",122.206,"-0.67","25",125.948,"0","50",129.69,"0.67","75",133.432,"1.33","91",137.174,"2","98",140.916,"2.67","99.6",144.658
"55",8.5,"-2.67","0.4",115.0923,"-2","2",118.8543,"-1.33","9",122.6162,"-0.67","25",126.3781,"0","50",130.14,"0.67","75",133.9019,"1.33","91",137.6638,"2","98",141.4257,"2.67","99.6",145.1877
"56",8.5833,"-2.67","0.4",115.459,"-2","2",119.2417,"-1.33","9",123.0245,"-0.67","25",126.8072,"0","50",130.59,"0.67","75",134.3728,"1.33","91",138.1555,"2","98",141.9383,"2.67","99.6",145.721
"57",8.6667,"-2.67","0.4",115.8165,"-2","2",119.6199,"-1.33","9",123.4233,"-0.67","25",127.2266,"0","50",131.03,"0.67","75",134.8334,"1.33","91",138.6367,"2","98",142.4401,"2.67","99.6",146.2435
"58",8.75,"-2.67","0.4",116.1792,"-2","2",120.0044,"-1.33","9",123.8296,"-0.67","25",127.6548,"0","50",131.48,"0.67","75",135.3052,"1.33","91",139.1304,"2","98",142.9556,"2.67","99.6",146.7808
"59",8.8333,"-2.67","0.4",116.5293,"-2","2",120.377,"-1.33","9",124.2247,"-0.67","25",128.0723,"0","50",131.92,"0.67","75",135.7677,"1.33","91",139.6153,"2","98",143.463,"2.67","99.6",147.3107
"60",8.9167,"-2.67","0.4",116.8845,"-2","2",120.7559,"-1.33","9",124.6272,"-0.67","25",128.4986,"0","50",132.37,"0.67","75",136.2414,"1.33","91",140.1128,"2","98",143.9841,"2.67","99.6",147.8555
"61",9,"-2.67","0.4",117.2393,"-2","2",121.1345,"-1.33","9",125.0297,"-0.67","25",128.9248,"0","50",132.82,"0.67","75",136.7152,"1.33","91",140.6103,"2","98",144.5055,"2.67","99.6",148.4007
"62",9.0833,"-2.67","0.4",117.5903,"-2","2",121.5103,"-1.33","9",125.4302,"-0.67","25",129.3501,"0","50",133.27,"0.67","75",137.1899,"1.33","91",141.1098,"2","98",145.0297,"2.67","99.6",148.9497
"63",9.1667,"-2.67","0.4",117.9463,"-2","2",121.8922,"-1.33","9",125.8381,"-0.67","25",129.7841,"0","50",133.73,"0.67","75",137.6759,"1.33","91",141.6219,"2","98",145.5678,"2.67","99.6",149.5137
"64",9.25,"-2.67","0.4",118.3019,"-2","2",122.2739,"-1.33","9",126.246,"-0.67","25",130.218,"0","50",134.19,"0.67","75",138.162,"1.33","91",142.134,"2","98",146.1061,"2.67","99.6",150.0781
"65",9.3333,"-2.67","0.4",118.6536,"-2","2",122.6527,"-1.33","9",126.6518,"-0.67","25",130.6509,"0","50",134.65,"0.67","75",138.6491,"1.33","91",142.6482,"2","98",146.6473,"2.67","99.6",150.6464
"66",9.4167,"-2.67","0.4",119.0101,"-2","2",123.0376,"-1.33","9",127.065,"-0.67","25",131.0925,"0","50",135.12,"0.67","75",139.1475,"1.33","91",143.175,"2","98",147.2024,"2.67","99.6",151.2299
"67",9.5,"-2.67","0.4",119.3662,"-2","2",123.4222,"-1.33","9",127.4781,"-0.67","25",131.5341,"0","50",135.59,"0.67","75",139.6459,"1.33","91",143.7019,"2","98",147.7578,"2.67","99.6",151.8138
"68",9.5833,"-2.67","0.4",119.7183,"-2","2",123.8037,"-1.33","9",127.8891,"-0.67","25",131.9746,"0","50",136.06,"0.67","75",140.1454,"1.33","91",144.2309,"2","98",148.3163,"2.67","99.6",152.4017
"69",9.6667,"-2.67","0.4",120.0699,"-2","2",124.185,"-1.33","9",128.3,"-0.67","25",132.415,"0","50",136.53,"0.67","75",140.645,"1.33","91",144.76,"2","98",148.875,"2.67","99.6",152.9901
"70",9.75,"-2.67","0.4",120.4212,"-2","2",124.5659,"-1.33","9",128.7106,"-0.67","25",132.8553,"0","50",137,"0.67","75",141.1447,"1.33","91",145.2894,"2","98",149.4341,"2.67","99.6",153.5788
"71",9.8333,"-2.67","0.4",120.7771,"-2","2",124.9528,"-1.33","9",129.1285,"-0.67","25",133.3043,"0","50",137.48,"0.67","75",141.6557,"1.33","91",145.8315,"2","98",150.0072,"2.67","99.6",154.1829
"72",9.9167,"-2.67","0.4",121.1238,"-2","2",125.3303,"-1.33","9",129.5369,"-0.67","25",133.7434,"0","50",137.95,"0.67","75",142.1566,"1.33","91",146.3631,"2","98",150.5697,"2.67","99.6",154.7762
"73",10,"-2.67","0.4",121.4751,"-2","2",125.7138,"-1.33","9",129.9525,"-0.67","25",134.1913,"0","50",138.43,"0.67","75",142.6687,"1.33","91",146.9075,"2","98",151.1462,"2.67","99.6",155.3849
"74",10.0833,"-2.67","0.4",121.8172,"-2","2",126.0879,"-1.33","9",130.3586,"-0.67","25",134.6293,"0","50",138.9,"0.67","75",143.1707,"1.33","91",147.4414,"2","98",151.7121,"2.67","99.6",155.9828
"75",10.1667,"-2.67","0.4",122.1712,"-2","2",126.4734,"-1.33","9",130.7756,"-0.67","25",135.0778,"0","50",139.38,"0.67","75",143.6822,"1.33","91",147.9844,"2","98",152.2866,"2.67","99.6",156.5888
"76",10.25,"-2.67","0.4",122.5211,"-2","2",126.8558,"-1.33","9",131.1905,"-0.67","25",135.5253,"0","50",139.86,"0.67","75",144.1947,"1.33","91",148.5295,"2","98",152.8642,"2.67","99.6",157.1989
"77",10.3333,"-2.67","0.4",122.8655,"-2","2",127.2316,"-1.33","9",131.5977,"-0.67","25",135.9639,"0","50",140.33,"0.67","75",144.6961,"1.33","91",149.0623,"2","98",153.4284,"2.67","99.6",157.7945
"78",10.4167,"-2.67","0.4",123.2181,"-2","2",127.6161,"-1.33","9",132.0141,"-0.67","25",136.412,"0","50",140.81,"0.67","75",145.208,"1.33","91",149.6059,"2","98",154.0039,"2.67","99.6",158.4019
"79",10.5,"-2.67","0.4",123.5654,"-2","2",127.994,"-1.33","9",132.4227,"-0.67","25",136.8513,"0","50",141.28,"0.67","75",145.7087,"1.33","91",150.1373,"2","98",154.566,"2.67","99.6",158.9946
"80",10.5833,"-2.67","0.4",123.9209,"-2","2",128.3807,"-1.33","9",132.8405,"-0.67","25",137.3002,"0","50",141.76,"0.67","75",146.2198,"1.33","91",150.6795,"2","98",155.1393,"2.67","99.6",159.5991
"81",10.6667,"-2.67","0.4",124.2749,"-2","2",128.7637,"-1.33","9",133.2524,"-0.67","25",137.7412,"0","50",142.23,"0.67","75",146.7188,"1.33","91",151.2076,"2","98",155.6963,"2.67","99.6",160.1851
"82",10.75,"-2.67","0.4",124.6372,"-2","2",129.1554,"-1.33","9",133.6736,"-0.67","25",138.1918,"0","50",142.71,"0.67","75",147.2282,"1.33","91",151.7464,"2","98",156.2646,"2.67","99.6",160.7828
"83",10.8333,"-2.67","0.4",124.998,"-2","2",129.5435,"-1.33","9",134.089,"-0.67","25",138.6345,"0","50",143.18,"0.67","75",147.7255,"1.33","91",152.271,"2","98",156.8165,"2.67","99.6",161.362
"84",10.9167,"-2.67","0.4",125.3624,"-2","2",129.9343,"-1.33","9",134.5062,"-0.67","25",139.0781,"0","50",143.65,"0.67","75",148.2219,"1.33","91",152.7938,"2","98",157.3657,"2.67","99.6",161.9376
"85",11,"-2.67","0.4",125.7303,"-2","2",130.3277,"-1.33","9",134.9251,"-0.67","25",139.5226,"0","50",144.12,"0.67","75",148.7174,"1.33","91",153.3149,"2","98",157.9123,"2.67","99.6",162.5097
"86",11.0833,"-2.67","0.4",126.1095,"-2","2",130.7296,"-1.33","9",135.3497,"-0.67","25",139.9699,"0","50",144.59,"0.67","75",149.2101,"1.33","91",153.8303,"2","98",158.4504,"2.67","99.6",163.0705
"87",11.1667,"-2.67","0.4",126.4923,"-2","2",131.1342,"-1.33","9",135.7762,"-0.67","25",140.4181,"0","50",145.06,"0.67","75",149.7019,"1.33","91",154.3438,"2","98",158.9858,"2.67","99.6",163.6277
"88",11.25,"-2.67","0.4",126.8828,"-2","2",131.5446,"-1.33","9",136.2064,"-0.67","25",140.8682,"0","50",145.53,"0.67","75",150.1918,"1.33","91",154.8536,"2","98",159.5154,"2.67","99.6",164.1772
"89",11.3333,"-2.67","0.4",127.2809,"-2","2",131.9606,"-1.33","9",136.6404,"-0.67","25",141.3202,"0","50",146,"0.67","75",150.6798,"1.33","91",155.3596,"2","98",160.0394,"2.67","99.6",164.7191
"90",11.4167,"-2.67","0.4",127.6867,"-2","2",132.3825,"-1.33","9",137.0783,"-0.67","25",141.7742,"0","50",146.47,"0.67","75",151.1658,"1.33","91",155.8617,"2","98",160.5575,"2.67","99.6",165.2533
"91",11.5,"-2.67","0.4",128.0916,"-2","2",132.8012,"-1.33","9",137.5108,"-0.67","25",142.2204,"0","50",146.93,"0.67","75",151.6396,"1.33","91",156.3492,"2","98",161.0588,"2.67","99.6",165.7684
"92",11.5833,"-2.67","0.4",128.5131,"-2","2",133.2349,"-1.33","9",137.9566,"-0.67","25",142.6783,"0","50",147.4,"0.67","75",152.1217,"1.33","91",156.8434,"2","98",161.5651,"2.67","99.6",166.2869
"93",11.6667,"-2.67","0.4",128.9466,"-2","2",133.6774,"-1.33","9",138.4083,"-0.67","25",143.1391,"0","50",147.87,"0.67","75",152.6009,"1.33","91",157.3317,"2","98",162.0626,"2.67","99.6",166.7934
"94",11.75,"-2.67","0.4",129.3841,"-2","2",134.1231,"-1.33","9",138.8621,"-0.67","25",143.601,"0","50",148.34,"0.67","75",153.079,"1.33","91",157.8179,"2","98",162.5569,"2.67","99.6",167.2959
"95",11.8333,"-2.67","0.4",129.8425,"-2","2",134.5869,"-1.33","9",139.3312,"-0.67","25",144.0756,"0","50",148.82,"0.67","75",153.5644,"1.33","91",158.3088,"2","98",163.0531,"2.67","99.6",167.7975
"96",11.9167,"-2.67","0.4",130.2916,"-2","2",135.0387,"-1.33","9",139.7858,"-0.67","25",144.5329,"0","50",149.28,"0.67","75",154.0271,"1.33","91",158.7742,"2","98",163.5213,"2.67","99.6",168.2684
